"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Year","Gregorian year","Mintmark","Comment","Quantity","For exchange","Grade","Collection","Buying price (GBP)","Estimate (GBP)","Private comment","Public comment"
"Russia","Soviet Union","Ruble (1961-1991)","0.01","Y# 126a","N# 767","1 Kopeck (15 orbits)","Standard circulation coin","1961-1991","Round","Brass (58% Copper, 40% Zinc, 2% Manganese)","1","15","1974","1974","","","1","","","","0.1","","Norwich E November 19",""
"Russia","Soviet Union","Ruble (1961-1991)","0.01","Y# 126a","N# 767","1 Kopeck (15 orbits)","Standard circulation coin","1961-1991","Round","Brass (58% Copper, 40% Zinc, 2% Manganese)","1","15","1987","1987","","","1","","","","0.39","","Ebay August 19","RUS-05 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.02","Y# 127a","N# 2085","2 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Brass (58% Copper, 40% Zinc, 2% Manganese)","2","18","1961","1961","","","1","","","","0.25","","Norwich April 19","RUS-01 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.02","Y# 127a","N# 2085","2 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Brass (58% Copper, 40% Zinc, 2% Manganese)","2","18","1991","1991","M","Moscow Mint","1","","","","0.39","","Ebay August 19","RUS-06 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.03","Y# 128a","N# 766","3 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Brass (58% Copper, 40% Zinc, 2% Manganese (ЛМц 58-2))","3","22","1970","1970","","","1","","","","0.1","","Norwich E November 19",""
"Russia","Soviet Union","Ruble (1961-1991)","0.03","Y# 128a","N# 766","3 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Brass (58% Copper, 40% Zinc, 2% Manganese (ЛМц 58-2))","3","22","1971","1971","","","1","","","","0.39","","Ebay August 19","RUS-07 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.05","Y# 129a","N# 765","5 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Brass","5","25","1961","1961","","","1","","","","0.1","","Norwich E November 19",""
"Russia","Soviet Union","Ruble (1961-1991)","0.05","Y# 129a","N# 765","5 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Brass","5","25","1983","1983","","","1","","","","0.01","","Norwich D January 20",""
"Russia","Soviet Union","Ruble (1961-1991)","0.1","Y# 130","N# 764","10 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","1.6","17.27","1962","1962","","","1","","","","0.1","","Norwich E November 19",""
"Russia","Soviet Union","Ruble (1961-1991)","0.1","Y# 130","N# 764","10 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","1.6","17.27","1981","1981","","","1","","","","","","Cape Town 18 A","RUS-02 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.1","Y# 130","N# 764","10 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","1.6","17.27","1988","1988","","","1","","","","0.39","","Ebay August 19","RUS-15 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.1","Y# 136","N# 10502","10 Kopecks (October Revolution)","Circulating commemorative coin","1967","Round","Nickel silver","2.05","17.2","1967","1967","","","1","","","","0.99","","Ebay August 19","RUS-08 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.15","Y# 131","N# 2084","15 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","2.5","19.56","1961","1961","","","1","","","","","","Cape Town 18 A","RUS-03 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.15","Y# 131","N# 2084","15 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","2.5","19.56","1961","1961","","","1","","","","0.1","","Norwich E November 19",""
"Russia","Soviet Union","Ruble (1961-1991)","0.15","Y# 131","N# 2084","15 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","2.5","19.56","1986","1986","","","1","","","","0.49","","Ebay August 19","RUS-09 a"
"Russia","Soviet Union","Ruble (1961-1991)","0.2","Y# 132","N# 763","20 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","3.4","21.8","1961","1961","","","1","","","","0.1","","Norwich E November 19",""
"Russia","Soviet Union","Ruble (1961-1991)","0.2","Y# 132","N# 763","20 Kopecks (15 orbits)","Standard circulation coin","1961-1991","Round","Nickel brass","3.4","21.8","1962","1962","","","1","","","","0.99","","Ebay August 19","RUS-10 a"
"Russia","Soviet Union","Ruble (1961-1991)","1","Y# 134a.1","N# 4656","1 Ruble","Standard circulation coin","1961-1991","Round","Nickel brass","7.5","27","1964","1964","","Y#134a.2 (lettered edge)","1","","","","0.99","","Ebay August 19","RUS-11 a"
"Russia","Soviet Union","Ruble (1961-1991)","1","Y# 135.1","N# 4589","1 Ruble (20th Anniversary of the Victory in Great Patriotic War)","Circulating commemorative coin","1965","Round","Nickel silver","9.85","31","1965","1965","","Y#135.1","1","","","","1.29","","Ebay August 19","RUS-12 a"
"Russia","Soviet Union","Ruble (1961-1991)","1","Y# 177","N# 4598","1 Ruble (XXII Summer Olympic Games, Moscow 1980 - Yury Dolgoruky Monument)","Circulating commemorative coin","1980","Round","Nickel silver","12.8","31","1980","1980","","","1","","","","","","Cape Town 18 B","RUS-04 a"
"Russia","Soviet Union","Government Bank Issue ‒ Ruble (1991)","0.1","Y# 296","N# 3025","10 Kopecks (Government Bank Issue)","Standard circulation coin","1991","Round","Copper clad steel","2","17.9","1991","1991","М","","1","","","","0.39","","Ebay August 19","RUS-16 a"
"Rwanda","Rwanda","Franc (1964-date)","100","KM# 32","N# 7055","100 Amafaranga","Standard circulation coin","2007","Round","Bimetallic: copper plated steel centre in nickel plated steel ring","7.47","26","2007","2007","","Small text with wide gap, 7.5 gr","1","","","","0.04","","Ebay B January 20",""
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena","Pound sterling (1821)","0.002083333333333","KM# A4","N# 18419","½ Penny (British East India Company)","Standard circulation coin","1821","Round","Copper","9.4","29","1821","1821","","","1","","","","15","","Hay-on-Wye June 19","SH-01 a"
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena and Ascension","Pound (1976-date)","0.02","KM# 12a","N# 15643","2 Pence - Elizabeth II (3rd portrait)","Standard circulation coin","1998-2006","Round","Copper plated steel","7.12","25.91","2003","2003","","","1","","","","2.75","","Ebay June 19","SH-02 a"
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena and Ascension","Pound (1976-date)","0.05","KM# 3","N# 11209","5 Pence - Elizabeth II (2nd portrait; large type)","Standard circulation coin","1984","Round","Copper-nickel","5.66","23.6","1984","1984","","","1","","","","0.06","","Ebay December 19","x"
"Saudi Arabia","Saudi Arabia","Riyal (1925-1960)","0.045454545454545","KM# 40","N# 2940","1 Qirsh - Su'ūd","Standard circulation coin","1957-1959","Round","Copper-nickel","3.2","22","1378","1959","","١٣٧٨","1","","","","0.1","","Norwich E January 19",""
"Saudi Arabia","Saudi Arabia","Riyal (1925-1960)","0.090909090909091","KM# 41","N# 7840","2 Qirsh - Su'ūd","Standard circulation coin","1957-1960","Round","Copper-nickel","6","26.9","1379","1960","","١٣٧٩","1","","","","0.35","","Ebay December 19","x"
"Saudi Arabia","Saudi Arabia","Riyal (1960-date)","0.1","KM# 54","N# 3141","2 Qirsh / 10 Halalāt - Khālid","Standard circulation coin","1977-1980","Round","Copper-nickel","4","21","1397","1977","","١٣٩٧","1","","","","0.08","","Norwich M November 19","SAU-04"
"Saudi Arabia","Saudi Arabia","Riyal (1960-date)","0.1","KM# 62","N# 9927","2 Qirsh / 10 Halalāt - Fahd","Standard circulation coin","1988-2002","Round","Copper-nickel","4","21","1408","1988","","١٤٠٨","1","","","","0.08","","Norwich August 19","SAU-01 a"
"Saudi Arabia","Saudi Arabia","Riyal (1960-date)","0.25","KM# 55","N# 3142","¼ Riyal / 25 Halālah - Khālid","Standard circulation coin","1977-1980","Round","Copper-nickel","5","23","1400","1980","","١٤٠٠","1","","","","0.08","","Norwich M November 19","SAU-02 a"
"Saudi Arabia","Saudi Arabia","Riyal (1960-date)","0.25","KM# 71","N# 16419","¼ Riyal / 25 Halālah - Abdullāh","Standard circulation coin","2009-2014","Round","Copper-nickel","5","23","1435","2014","","١٤٣٥ small date","1","","","","0.04","","Ebay B January 20",""
"Saudi Arabia","Saudi Arabia","Riyal (1960-date)","0.5","KM# 64","N# 7637","½ Riyal / 50 Halalah - Fahd","Standard circulation coin","1988-2002","Round","Copper-nickel","6.5","26","1408","1988","","١٤٠٨","1","","","","0.08","","Norwich M November 19","SAU-03 a"
"Saudi Arabia","Saudi Arabia","Riyal (1960-date)","0.5","KM# 68","N# 9930","½ Riyal / 50 Halalah - Abdullāh","Standard circulation coin","2007-2015","Round","Copper-nickel","6.5","26","1428","2007","","١٤٢٨","1","","","","0.04","","Ebay B January 20",""
"Serbia","Serbia","Dinar (1868-1918)","0.05","KM# 18","N# 6222","5 Para - Milan I / Aleksandar I / Petar I","Standard circulation coin","1883-1917","Round","Copper-nickel","3","17","1912","1912","","Proof, Medal alignment","1","","","","0.1","","Norwich E February 22",""
"Serbia","Serbia","Dinar (1868-1918)","0.1","KM# 19","N# 3117","10 Para - Milan I / Aleksandar I / Petar I","Standard circulation coin","1883-1917","Round","Copper-nickel","4","20","1912","1912","","Medal alignment","1","","","","0.1","","Norwich E February 22",""
"Serbia","Serbia","Dinar (1868-1918)","0.5","KM# 24","N# 6214","50 Para - Petar I","Standard circulation coin","1904-1915","Round","Silver (.835)","2.5","18","1912","1912","","KM# 24.1 (medal alignment)","1","","","","1.84","","Ebay November 19","SER-01 a"
"Seychelles","Seychelles","Rupee (1914-date)","1","KM# 50","N# 4182","1 Rupee","Standard circulation coin","1982-2010","Round","Copper-nickel","6.18","25.46","1982","1982","","Royal Mint KM#50.1","1","","","","0.04","","Ebay B January 20",""
"Sierra Leone","Sierra Leone","Leone (1964-date)","0.005","KM# 16","N# 4134","½ Cent","Standard circulation coin","1964","Round","Bronze","2.85","20.3","1964","1964","","","1","","","","1","","TS A February 22",""
"Singapore","Singapore","Dollar (1967-date)","0.01","KM# 98","N# 1670","1 Cent (ribbon downwards)","Standard circulation coin","1992-2002","Round","Copper plated zinc","1.24","15.9","1995","1995","","","1","","","","0.04","","Ebay B January 20",""
"Singapore","Singapore","Dollar (1967-date)","0.05","KM# 2","N# 7845","5 Cents (non-magnetic)","Standard circulation coin","1967-1985","Round","Copper-nickel","1.41","16.25","1977","1977","","","1","","","","0.06","","Ebay December 19","x"
"Singapore","Singapore","Dollar (1967-date)","0.1","KM# 3","N# 1671","10 Cents","Standard circulation coin","1967-1985","Round","Copper-nickel","2.83","19.41","1969","1969","","","1","","","","0.08","","Norwich August 19","SING-01"
"Slovakia","Slovakia","Koruna (1993-2008)","0.1","KM# 17","N# 2487","10 Halierov","Standard circulation coin","1993-2003","Round","Aluminium","0.72","17","1993","1993","","","1","","","","0.1","","Norwich E November 19",""
"Slovakia","Slovakia","Koruna (1993-2008)","1","KM# 12","N# 2486","1 Koruna","Standard circulation coin","1993-2008","Round","Bronze plated steel","3.85","21","1993","1993","","","1","","","","0.39","","Ebay December 19",""
"Slovakia","Slovakia","Koruna (1993-2008)","2","KM# 13","N# 2485","2 Koruna","Standard circulation coin","1993-2008","Round","Nickel plated steel","4.4","22.5","1993","1993","","Varieties of artist's initials","1","","","","0.39","","Ebay December 19",""
"Slovakia","Slovakia","Koruna (1993-2008)","5","KM# 14","N# 2389","5 Korún","Standard circulation coin","1993-2008","Round","Nickel plated steel","5.4","24.75","1993","1993","","Varieties in artist's initials","1","","","","0.39","","Ebay P December 19","x"
"Slovenia","Slovenia","Tolar (1991-2006)","1","KM# 4","N# 2145","1 Tolar","Standard circulation coin","1992-2006","Round","Nickel brass (78% Copper, 20% Zinc, 2% Nickel)","4.5","22","1994","1994","","Kremnica Mint: open 4 to the top","1","","","","0.06","","Ebay December 19","x"
"South Africa","South Africa","Pound (1825-1961)","0.001041666666667","KM# 23","N# 2877","¼ Penny - George VI","Standard circulation coin","1937-1947","Round","Bronze","2.83","20.2","1942","1942","","Hern#S22 black; Hern#S23 yellow","1","","","","","","Cape Town 18 A","SAU-01 a"
"South Africa","South Africa","Pound (1825-1961)","0.002083333333333","KM# 13.3","N# 70364","½ Penny - George V (½D)","Standard circulation coin","1931-1936","Round","Bronze","5.67","25.6","1934","1934","","Hern#S55","1","","","","","","Cape Town 18 A","SAU-02 a"
"South Africa","South Africa","Pound (1825-1961)","0.002083333333333","KM# 45","N# 9968","½ Penny - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Copper","5.67","25.6","1953","1953","","Hern#S74","1","","","","","","Cape Town 18 A","SAU-03 a"
"South Africa","South Africa","Pound (1825-1961)","0.002083333333333","KM# 45","N# 9968","½ Penny - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Copper","5.67","25.6","1956","1956","","Hern#S77","1","","","","0.5","","Wayne CB3 March 22",""
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 14.3","N# 70367","1 Penny George V (1D)","Standard circulation coin","1931-1936","Round","Bronze","9.5","31","1934","1934","","Hern#S94","1","","","","1","","Norwich August 19","SAU-14"
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 14.3","N# 70367","1 Penny George V (1D)","Standard circulation coin","1931-1936","Round","Bronze","9.5","31","1936","1936","","Hern#S96","1","","","","","","Cape Town 18 A","SAU-04 a"
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 25","N# 3202","1 Penny - George VI","Standard circulation coin","1937-1947","Round","Copper","9.45","31","1942","1942","","Hern#S102; two variants see comments","1","","","","","","Cape Town 18 A","SAU-05 a"
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 25","N# 3202","1 Penny - George VI","Standard circulation coin","1937-1947","Round","Copper","9.45","31","1945","1945","","Hern#S105","1","","","","","","Cape Town 18 B","SAU-06 a"
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 25","N# 3202","1 Penny - George VI","Standard circulation coin","1937-1947","Round","Copper","9.45","31","1945","1945","","Hern#S105","1","","","","0.01","","Norwich D January 20",""
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 25","N# 3202","1 Penny - George VI","Standard circulation coin","1937-1947","Round","Copper","9.45","31","1946","1946","","Hern#S106","1","","","","0.5","","Wayne CB2 March 22",""
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 34.2","N# 6227","1 Penny - George VI (SUID AFRIKA - SOUTH AFRICA)","Standard circulation coin","1951-1952","Round","Copper","9.45","31","1952","1952","","Hern#S112","1","","","","","","Cape Town 18 A","SAU-07 a"
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 46","N# 3203","1 Penny - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Copper","9.45","31","1953","1953","","Hern#S113","1","","","","","","Cape Town 18 A","SAU-08 a"
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 46","N# 3203","1 Penny - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Copper","9.45","31","1954","1954","","Hern#S114","1","","","","","","Cape Town 18 A","SAU-09 a"
"South Africa","South Africa","Pound (1825-1961)","0.004166666666667","KM# 46","N# 3203","1 Penny - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Copper","9.45","31","1954","1954","","Hern#S114","1","","","","","","Cape Town 18 A","SAU-10 a"
"South Africa","South Africa","Pound (1825-1961)","0.0125","KM# 26","N# 2884","3 Pence - George VI","Standard circulation coin","1937-1947","Round","Silver (.800)","1.414","16.3","1941","1941","","Hern#S140","1","","","","1.2","","Ebay August 19","SAU-15"
"South Africa","South Africa","Pound (1825-1961)","0.0125","KM# 26","N# 2884","3 Pence - George VI","Standard circulation coin","1937-1947","Round","Silver (.800)","1.414","16.3","1943","1943","","Hern#S142","1","","","","1.2","","Ebay August 19","SAU-13"
"South Africa","South Africa","Pound (1825-1961)","0.0125","KM# 35.1","N# 9966","3 Pence - George VI","Standard circulation coin","1948-1950","Round","Silver (.800)","1.414","16.3","1949","1949","","Hern#S148","1","","","","1","","Ebay July 19","SAU-11 a"
"South Africa","South Africa","Pound (1825-1961)","0.0125","KM# 35.2","N# 9967","3 Pence - George VI","Standard circulation coin","1951-1952","Round","Silver (.500)","1.414","16.3","1952","1952","","Hern#S151","1","","","","0.99","","Ebay November 19",""
"South Africa","South Africa","Pound (1825-1961)","0.0125","KM# 47","N# 9244","3 Pence - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Silver (.500)","1.414","16.3","1954","1954","","Hern#S153","1","","","","1","","Bath September 21",""
"South Africa","South Africa","Pound (1825-1961)","0.0125","KM# 47","N# 9244","3 Pence - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Silver (.500)","1.414","16.3","1956","1956","","Hern#S155","1","","","","1","","Bath September 21",""
"South Africa","South Africa","Pound (1825-1961)","0.025","KM# 16.1","N# 8448","6 Pence - George V (ZUID-AFRIKA 6 PENCE)","Standard circulation coin","1925-1930","Round","Silver (.800)","2.83","19.35","1926","1926","","Hern#S163","1","","","","1","","Ebay August 19","SAU-16"
"South Africa","South Africa","Pound (1825-1961)","0.025","KM# 27","N# 3271","6 Pence - George VI","Standard circulation coin","1937-1947","Round","Silver (.800)","2.83","19.35","1937","1937","","Hern#S174","1","","","","1","","Ebay July 19","SAU-12 a"
"South Africa","South Africa","Pound (1825-1961)","0.05","KM# 49","N# 10282","1 Shilling - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Silver (.500)","5.66","23.7","1958","1958","","Hern#S233","1","","","","0.5","","Norwich E January 19",""
"South Africa","South Africa","Pound (1825-1961)","0.125","KM# 30","N# 14732","2½ Shillings - George VI (2½ Shillings, IMPERATOR)","Standard circulation coin","1937-1947","Round","Silver (.800)","14.14","32.3","1940","1940","","Hern#S291","1","","","","1","","Norwich E September 19","SAU-17 a"
"South Africa","South Africa","Pound (1825-1961)","0.125","KM# 51","N# 6084","2½ Shillings - Elizabeth II (1st portrait)","Standard circulation coin","1953-1960","Round","Silver (.500)","14.14","32.3","1954","1954","","Hern#S305","1","","","","0.5","","Norwich E January 19",""
"South Africa","South Africa","Pound (1825-1961)","0.25","KM# 31","N# 10629","5 Shillings - George VI (5 Shillings, IMPERATOR)","Standard circulation coin","1947","Round","Silver (.800)","28.28","38.61","1947","1947","","Hern#S312","1","","","","5","","Bath C February 20",""
"South Africa","South Africa","Rand (1961-date)","0.01","KM# 57","N# 2879","1 Cent (1st decimal series)","Standard circulation coin","1961-1964","Round","Brass","9.42","31","1961","1961","","Hern#R6","1","","","","","","Cape Town 18 A","SAR-01 a"
"South Africa","South Africa","Rand (1961-date)","0.02","KM# 66.2","N# 3403","2 Cents (Afrikaans Legend - SUID-AFRIKA)","Standard circulation coin","1965-1969","Round","Bronze","4","22.45","1965","1965","","Hern#D51","1","","","","0.01","","Ebay December 19","x"
"South Africa","South Africa","Rand (1961-date)","0.02","KM# 92","N# 2882","2 Cents (Jacobus J. Fouché)","Circulating commemorative coin","1976","Round","Bronze","4","22.45","1976","1976","","","1","","","","0.06","","Ebay December 19","x"
"South Africa","South Africa","Rand (1961-date)","0.02","KM# 99","N# 1795","2 Cents (Nicolaas J. Diederichs)","Circulating commemorative coin","1979","Round","Bronze","4","22.45","1979","1979","","","1","","","","0.06","","Ebay December 19","x"
"South Africa","South Africa","Rand (1961-date)","0.02","KM# 133","N# 1774","2 Cents (SUID-AFRIKA - SOUTH AFRICA)","Standard circulation coin","1990-1995","Round","Copper plated steel","3","18","1992","1992","","Hern#Nb3","1","","","","0.04","","Ebay B January 20",""
"South Africa","South Africa","Rand (1961-date)","0.02","KM# 159","N# 2883","2 Cents (Venda Legend - AFURIKA-TSHIPEMBE)","Standard circulation coin","1996-2000","Round","Copper plated steel","3","18","1996","1996","","Hern#Nb7","1","","","","0.06","","Ebay December 19","x"
"South Africa","South Africa","Rand (1961-date)","0.05","KM# 160","N# 3376","5 Cents (Tsonga Legend - AFRIKA-DZONGA)","Standard circulation coin","1996-2000","Round","Copper plated steel","4.5","21","1997","1997","","Hern#Nc8","1","","","","0.04","","Ebay B January 20",""
"South Africa","South Africa","Rand (1961-date)","0.2","KM# 69.2","N# 916","20 Cents (Afrikaans Legend - SUID-AFRIKA)","Standard circulation coin","1965-1969","Round","Nickel","6","24.2","1965","1965","","Hern#D156","1","","","","0.08","","Norwich August 19","SAR-02"
"South Africa","South Africa","Rand (1961-date)","0.2","KM# 136","N# 1765","20 Cents (SOUTH AFRICA - SUID-AFRIKA)","Standard circulation coin","1990-1995","Round","Bronze plated steel","3.5","19","1993","1993","","Hern#Ne4","1","","","","0.04","","Ebay B January 20",""
"South Africa","South Africa","Rand (1961-date)","2","KM# 165","N# 3404","2 Rand (Xhosa Legend - UMZANTSI AFRIKA)","Standard circulation coin","1996-2000","Round","Nickel plated copper","5.5","23","1998","1998","","Hern#Nh10","1","","","","","","Wayne February 20",""
"South Africa","South African Republic","Z.A.R. Pond (1874-1902)","0.0125","KM# 3","N# 1270","3 Pence (Zuid Afrikaansche Republiek)","Standard circulation coin","1892-1897","Round","Silver (.925)","1.41","16.3","1896","1896","","Hern#Z9; Pretoria mint","1","","","","1","","Norwich E February 20",""
"South Africa","South African Republic","Z.A.R. Pond (1874-1902)","0.025","KM# 4","N# 15452","6 Pence (Zuid Afrikaansche Republiek)","Standard circulation coin","1892-1897","Round","Silver (.925)","2.83","19.35","1895","1895","","Hern#Z14; Pretoria mint","1","","","","1","","Norwich E February 20",""
"South Africa","South African Republic","Z.A.R. Pond (1874-1902)","0.1","KM# 6","N# 4789","2 Shillings (Zuid Afrikaansche Republiek)","Standard circulation coin","1892-1897","Round","Silver (.925)","11.31","28.7","1896","1896","","Hern#Z27; Pretoria mint","1","","","","1","","Norwich E February 20",""
"South Korea","South Korea","New won (1962-date)","10","KM# 33","N# 978","10 Won","Standard circulation coin","1983-2006","Round","Brass","4.06","22.86","1990","1990","","KM#33.1","1","","","","0.04","","Ebay B January 20",""
"Spain","Spain","Real (1497-1833)","0.23529411764706","KM# 10","N# 40685","8 Maravedis - Felipe IV","Standard circulation coin","1621-1626","Irregular round","Copper","4.5","23","1625","1625","","KM#10.2,Coruna","1","","","","0.1","","Norwich E December 19",""
"Spain","Spain","Real de vellon (1808-1848)","20","KM# 551","N# 17981","20 Reales - Jose I Bonaparte","Standard circulation coin","1808-1813","Round","Silver (.903)","27","40","1808","1808","AI","KM#551.2,Cal#23","1","","","","10","","Norwich August 20 Faux",""
"Spain","Spain","Peseta (1868-2001)","0.05","KM# 662","N# 791","5 Centimos - Provisional Government","Standard circulation coin","1870","Round","Bronze (95% Copper, 4% Tin, 1% Zinc)","5","25","1870","1870","OM","","1","","","","1","","Norwich August 19",""
"Spain","Spain","Peseta (1868-2001)","0.05","KM# 674","N# 1246","5 Centimos - Alfonso XII","Standard circulation coin","1877-1879","Round","Bronze (Cu950 Sn40 Zn10)","5","25","1877","1877","OM","Cal#71","1","","","","","","Ebay July 19","SPA-10 a"
"Spain","Spain","Peseta (1868-2001)","0.1","KM# 766","N# 672","10 Centimos - Iberian rider","Standard circulation coin","1940-1953","Round","Aluminium","1.9","23","1940","1940","","PLUS, Cal#126","1","","","","0.08","","Norwich August 19",""
"Spain","Spain","Peseta (1868-2001)","0.1","KM# 766","N# 672","10 Centimos - Iberian rider","Standard circulation coin","1940-1953","Round","Aluminium","1.9","23","1941","1941","","PLUS, Cal#128","1","","","","0.08","","Norwich August 19",""
"Spain","Spain","Peseta (1868-2001)","0.1","KM# 766","N# 672","10 Centimos - Iberian rider","Standard circulation coin","1940-1953","Round","Aluminium","1.9","23","1945","1945","","PLUS, Cal#130","1","","","","0.08","","Norwich August 19",""
"Spain","Spain","Peseta (1868-2001)","0.1","KM# 790","N# 673","10 Centimos - Francisco Franco","Standard circulation coin","1959","Round","Aluminium (Al960 Mg35 Mn5)","0.75","17.5","1959","1959","","","1","","","","0.08","","Norwich August 19",""
"Spain","Spain","Peseta (1868-2001)","0.25","KM# 753","N# 3971","25 Centimos - 2nd Triumphant Year","Standard circulation coin","1937","Round with a hole","Copper-nickel (Cu750 Ni250)","7","25","1937","1937","","Cal#123","1","","","","0.5","","Norwich A January 20",""
"Spain","Spain","Peseta (1868-2001)","0.5","KM# 777","N# 671","50 Centimos (Anchor; Arrows up)","Standard circulation coin","1949-1965","Round with a hole","Copper-nickel (75% Copper, 25% Nickel)","4","20","1949","1949","","exact year unknown","1","","","","0.1","","Norwich E November 19",""
"Spain","Spain","Peseta (1868-2001)","0.5","KM# 777","N# 671","50 Centimos (Anchor; Arrows up)","Standard circulation coin","1949-1965","Round with a hole","Copper-nickel (75% Copper, 25% Nickel)","4","20","1949","1949","","exact year unknown","1","","","","0.1","","Norwich E November 19",""
"Spain","Spain","Peseta (1868-2001)","0.5","KM# 777","N# 671","50 Centimos (Anchor; Arrows up)","Standard circulation coin","1949-1965","Round with a hole","Copper-nickel (75% Copper, 25% Nickel)","4","20","1963","1964","","Cal#112; ""64"" on star","1","","","","0.25","","Norwich April 19","SPA-01 a"
"Spain","Spain","Peseta (1868-2001)","1","KM# 706","N# 6275","1 Peseta - Alfonso XIII (3rd portrait)","Standard circulation coin","1896-1902","Round","Silver (.835)","5","23","1896","1896","PGV","*1896,Cal#41","1","","","","1.2","","Ebay August 19.",""
"Spain","Spain","Peseta (1868-2001)","1","KM# 767","N# 758","1 Peseta","Standard circulation coin","1944","Round","Aluminium-bronze (Cu925 Al75)","3.5","21","1944","1944","","","1","","","","0.34","","Oxford June 19","SPA-02 a"
"Spain","Spain","Peseta (1868-2001)","1","KM# 767","N# 758","1 Peseta","Standard circulation coin","1944","Round","Aluminium-bronze (Cu925 Al75)","3.5","21","1944","1944","","","1","","","","0.1","","Norwich E November 19",""
"Spain","Spain","Peseta (1868-2001)","1","KM# 767","N# 758","1 Peseta","Standard circulation coin","1944","Round","Aluminium-bronze (Cu925 Al75)","3.5","21","1944","1944","","","1","","","","0.1","","Norwich E January 19",""
"Spain","Spain","Peseta (1868-2001)","1","KM# 775","N# 785","1 Peseta - Francisco Franco (1st portrait)","Standard circulation coin","1948-1967","Round","Aluminium-bronze (92.5% Copper, 7.5% Alumiunum)","3.5","21","1947","1954","","Cal#82; ""54"" on star","1","","","","0.08","","Norwich M November 19",""
"Spain","Spain","Peseta (1868-2001)","1","KM# 775","N# 785","1 Peseta - Francisco Franco (1st portrait)","Standard circulation coin","1948-1967","Round","Aluminium-bronze (92.5% Copper, 7.5% Alumiunum)","3.5","21","1963","1964","","Cal#91; ""64"" on star","1","","","","0.08","","Norwich M November 19",""
"Spain","Spain","Peseta (1868-2001)","1","KM# 775","N# 785","1 Peseta - Francisco Franco (1st portrait)","Standard circulation coin","1948-1967","Round","Aluminium-bronze (92.5% Copper, 7.5% Alumiunum)","3.5","21","1963","1965","","Cal#92; ""65"" on star","1","","","","0.08","","Norwich M November 19",""
"Spain","Spain","Peseta (1868-2001)","1","KM# 796","N# 786","1 Peseta - Francisco Franco (2nd portrait)","Standard circulation coin","1967-1975","Round","Aluminium-bronze (Cu925 Al75)","3.5","21","1966","1969","","""69"" on star","1","","","","0.34","","Oxford June 19","SPA-03 a"
"Spain","Spain","Peseta (1868-2001)","1","KM# 796","N# 786","1 Peseta - Francisco Franco (2nd portrait)","Standard circulation coin","1967-1975","Round","Aluminium-bronze (Cu925 Al75)","3.5","21","1966","1971","","""71"" on star","1","","","","0.34","","Oxford June 19","SPA-04 a"
